inputDataLabel,outputDataLabel,inputVersion,outputVersion,varId,used,name,nameWithinFile,datasetGroupPath,bitPosition,bitCount,type,divisor,unit,min,max,nodata_value,nodata_value2,resamplingFactor,comment,Comment_2
Data label of the file used as an input,Data label of the file generated as an output,version of the input,Version of the output,Unique id of the output variable,"1: included in the generation, 0: excluded",,Field name in the file,For .h5 files,,,,,,,,,,1: 2400x2400 for mod09ga. 2: 1200x1200,0,
,,,,,,,,,,,,,,,,,,,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,8,1,num_observations_500m,,,,,int8,1,unitless,0,122,-1,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,9,1,QC_500m,,,,,uint8,1,Bit field,0,255,255,,1,"Bits: modland, atmosCorr, adjCorr. Position 1, 3, 4. Size: 2, 1, 1.",
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,1,1,reflectance_1_620_670,,,,,uint8,100,hundredth,0,160,0,,1,reflectance in uint16 and not uint8 to reproduce the neuralClassification ndsi and ndvi of v2024.0c MccM.,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,2,1,reflectance_2_841_876,,,,,uint8,100,hundredth,0,160,0,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,3,1,reflectance_3_459_479,,,,,uint8,100,hundredth,0,160,0,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,4,1,reflectance_4_545_565,,,,,uint8,100,hundredth,0,160,0,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,5,1,reflectance_5_1230_1250,,,,,uint8,100,hundredth,0,160,0,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,6,1,reflectance_6_1628_1652,,,,,uint8,100,hundredth,0,160,0,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,7,1,reflectance_7_2105_2155,,,,,uint8,100,hundredth,0,160,0,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,52,0,refl,,,,,int16,1,hundredth,0,160,,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,53,0,NoValues,,,,,uint8,1,unitless,0,1,,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,54,1,viewable_snow_fraction_s,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,56,1,shade_fraction_s,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,57,1,grain_size_s,,,,,uint16,1,microns,40,1190,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,58,1,dust_concentration_s,,,,,uint16,10,tenths of unitless,0,9500,65535,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,55,1,snow_fraction_s,,,,,uint8,1,percent,0,100,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,59,0,notprocessed,,,,,uint8,1,unitless,0,1,255,,1,,
mod09ga,modspiresdailytifsinu,v061,v2025.0.1,60,0,notprocessed_s,,,,,uint8,1,unitless,0,1,255,,1,,
