groupId,id,websiteDisplay,202402websiteDisplay,,Comment
Unique id of the group which include the subdivision. NB: A subdivision can be included in several groups.,Unique id used in the stat files. Called snowtod_id in the shapefiles,"1: link displayed on the website, even if the results for the group shouldn’t be displayed.","Previous version as a reminder 1: link displayed on the website, even if the results for the group shouldn’t be displayed.",,0
16794,22981,1,1,,
16795,22982,1,1,,
16795,22983,1,1,,
16795,22984,1,1,,
16795,22985,1,1,,
16795,22986,1,1,,
16795,22987,1,1,,
16795,22988,1,1,,
16795,22989,1,1,,
16795,22990,1,1,,
16797,22991,1,1,,
16797,22992,1,1,,
16797,22993,1,1,,
16799,22994,1,1,,
16799,22995,1,1,,
16801,22996,1,1,,
16801,22997,1,1,,
16801,22998,1,1,,
16801,22999,1,1,,
16801,23000,1,1,,
16801,23001,1,1,,
16801,23002,1,1,,
16801,23003,1,1,,
16801,23004,1,1,,
16801,23005,1,1,,
16802,23006,1,1,,
16803,23007,1,1,,
16804,23008,1,1,,
16805,23009,1,1,,
16806,23010,1,1,,
16807,23011,1,1,,
16808,23012,1,1,,
16808,23013,1,1,,
16808,23014,1,1,,
16808,23015,1,1,,
16808,23016,1,1,,
16808,23017,1,1,,
16808,23018,1,1,,
16808,23019,1,1,,
16808,23020,1,1,,
16808,23021,1,1,,
16810,23022,1,1,,
16810,23023,1,1,,
16810,23024,1,1,,
16811,23025,1,1,,
16811,23026,1,1,,
16812,23027,1,1,,
16813,23028,1,1,,
16814,23029,1,1,,
16815,23030,1,1,,
16816,23032,1,1,,
16816,23034,1,1,,
16820,23041,1,1,,
16831,23056,1,1,,
16831,23057,1,1,,
16832,23060,1,1,,
16833,23063,1,1,,
16833,23064,1,1,,
16834,23065,1,1,,
16834,23066,1,1,,
16836,23067,1,1,,
16836,23068,1,1,,
16836,23069,1,1,,
16836,23070,1,1,,
16836,23071,1,1,,
16836,23072,1,1,,
16836,23073,1,1,,
16836,23074,1,1,,
16836,23075,1,1,,
16837,23076,1,1,,
16837,23077,1,1,,
16837,23078,1,1,,
16837,23079,1,1,,
16837,23080,1,1,,
16837,23081,1,1,,
16837,23082,1,1,,
16837,23083,1,1,,
16837,23084,1,1,,
16837,23085,1,1,,
16838,23086,1,1,,
16839,23087,1,1,,
16839,23088,1,1,,
16839,23089,1,1,,
16839,23090,1,1,,
16839,23091,1,1,,
16839,23092,1,1,,
16839,23093,1,1,,
16839,23094,1,1,,
16839,23095,1,1,,
16839,23096,1,1,,
16839,23097,1,1,,
16840,23098,1,1,,
16841,23099,1,1,,
16842,23100,1,1,,
16842,23101,1,1,,
16842,23102,1,1,,
16842,23103,1,1,,
16842,23104,1,1,,
16842,23105,1,1,,
16842,23106,1,1,,
16842,23107,1,1,,
16842,23108,1,1,,
16843,23109,1,1,,
16843,23110,1,1,,
16843,23111,1,1,,
16843,23112,1,1,,
16843,23113,1,1,,
16843,23114,1,1,,
16843,23115,1,1,,
16843,23116,1,1,,
16844,23117,1,1,,
16844,23118,1,1,,
16844,23119,1,1,,
16845,23120,1,1,,
16846,23121,1,1,,
16846,23122,1,1,,
16847,23123,1,1,,
16847,23124,1,1,,
16847,23125,1,1,,
16847,23126,1,1,,
16847,23127,1,1,,
16849,23128,1,1,,
16849,23129,1,1,,
16849,23130,1,1,,
16849,23131,1,1,,
16849,23132,1,1,,
16849,23133,1,1,,
16851,23134,1,1,,
16851,23135,1,1,,
16853,23136,1,1,,
16853,23137,1,1,,
16853,23138,1,1,,
16854,23139,1,1,,
16854,23140,1,1,,
16854,23141,1,1,,
16854,23142,1,1,,
16854,23143,1,1,,
16854,23144,1,1,,
16854,23145,1,1,,
16854,23146,1,1,,
16854,23147,1,1,,
16854,23148,1,1,,
16854,23149,1,1,,
17033,23775,1,1,,
17033,23776,1,1,,
17033,23780,1,1,,
17036,23801,1,1,,
17036,23802,1,1,,
17036,23803,1,1,,
17092,23974,1,1,,
17092,23978,1,1,,
17103,24051,1,1,,
17115,24069,1,1,,
17117,24071,1,1,,
17118,24072,1,1,,
17119,24073,1,1,,
17120,24074,1,1,,
17121,24075,1,1,,
17122,24076,1,1,,
17124,24078,1,1,,
17125,24081,1,1,,
17125,24084,1,1,,
17125,24085,1,1,,
17125,24088,1,1,,
17127,24090,1,1,,
17127,24091,1,1,,
17127,24092,1,1,,
17127,24093,1,1,,
17127,24094,1,1,,
17127,24095,1,1,,
17127,24096,1,1,,
17127,24097,1,1,,
17127,24098,1,1,,
17127,24099,1,1,,
17127,24100,1,1,,
17127,24102,1,1,,
17129,24104,1,1,,
17129,24106,1,1,,
17129,24108,1,1,,
17129,24109,1,1,,
